branch_id,branch_name,mail_address_1,mail_city,mail_state,mail_zip_code,mail_country
7635,ROCKFORD IL - EESCO,2869 Eastrock Dr    ,Rockford       ,IL,61109      ,US
7557,"HOUSTON, TX",7049 Brookhollow W D,Houston        ,TX,77040      ,US
1336,US - NY - Dewitt,6581 Townline Rd    ,East Syracuse  ,NY,13057      ,US
1960,"CSC SAN ANTONIO, TX",306 E Nakoma St     ,San Antonio    ,TX,78216      ,US
2450,REGINA SK,1902 Stock Rd       ,Regina         ,SK,S4N 5J3    ,CN
2660,KELOWNA BC,101 - 2120 Leckie Pl,Kelowna        ,BC,V1Y 7W7    ,CN
1981,"CSC PHILADELPHIA, PA",2505 Blvd of the Gen,Norristown     ,PA,19403      ,US
7864,FAYETTEVILLE,3671 Wedington Dr   ,Fayetteville   ,AR,72702      ,US
1930,C-B TULSA,13047 E 59th St     ,Tulsa          ,OK,74134      ,US
6660,US - CO - Denver - 11198 E. 45th Avenue DENVER CO,11198 E 45th Ave    ,Denver         ,CO,80239      ,US
1721,BECKLEY WV,256 Ragland Rd      ,Beckley        ,WV,25801      ,US
2365,KITCHENER ON,10 Goodrich Dr      ,Kitchener      ,ON,N2C 0A6    ,CN
5680,US - TX - San Antonio - 306 East Nakoma Drive,306 E Nakoma St     ,San Antonio    ,TX,78216      ,US
