Contractor_Name,State,RT_POS_Customer,Qtrly_Avg_Kw,Qtrly_Avg_PC
Luxor Energy,CA,,512.314968833333,74.0696551666667
Solar Technologies,CA,TRUE,616.558397692308,96.539476
Clean Energy Solution,CA,,314.564328923077,52.3581826153846
Power Up Solutions,CA,TRUE,540.4055622,79.9539436
Southwest Sun Solar,CA,,1064.09315023077,154.678715230769
Stellar Solar,CA,,1495.12614546154,211.481594846154
"Solartech Energy Systems, Inc",CA,,1444.75051053846,196.449993846154
Northern Pacific Power,CA,,732.572330769231,95.8802296153846
Sunline Energy,CA,,1034.49324453846,148.355175
Simply Solar (Nocal),CA,TRUE,975.918652307692,147.956358230769
Cinnamon Solar,CA,TRUE,607.211799923077,83.1945364615385
Quality Homes Services,CA,,1435.534476,172.755712538462
SIG Solar,CA,TRUE,954.456121153846,98.2835006923077
American Array Solar,CA,,1024.33013346154,146.427940923077
Solara Solar LLC,CA,,346.841715142857,95.2345952857143
Aloha Solar,CA,TRUE,608.557802538462,79.3891668461539
Lajoma Construction Inc,CA,,242.77475075,45.6466225833333
SSES Inc,CA,,404.2238224,43.7391224
Your Energy Solutions,CA,TRUE,931.516901153846,138.171440692308
Sunlogix Energy Inc.,CA,,655.832137307692,60.5305400769231
Richard Heath & Associates,CA,,293.766157,53.05215875
Cobalt Power Systems,CA,,556.446199230769,56.4341244615385
A. M. Sun Solar,CA,TRUE,653.881457384616,96.9190046153846
Flagship Solar,CA,,496.131043909091,70.1070210909091
Hooked On Solar,CA,,1096.89415353846,162.453743307692
Allterra Solar,CA,,496.444798538462,89.3479432307693
Hot Purple Energy,CA,,608.271481307692,50.2088390769231
Monalee,CA,,315.684426375,48.346054125
Clean Solar,CA,,543.089742153846,77.8226441538462
Solar Price Discovery Inc,CA,,300.134058538462,49.1807210769231
Swell Energy,CA,,658.696390384615,116.742346769231
Next Phase Electric,CA,TRUE,1353.94066153846,175.760516153846
Blalock Electric,CA,,1349.26185792308,174.935055923077
Sol Nova LLC,CA,,743.309689846154,105.352794846154
Westhaven Solar,CA,,769.130341538461,100.830565153846
Option One Corporation,CA,,839.959780615385,88.6432767692308
Sea Bright Solar,CA,TRUE,849.612593769231,105.171119384615
Pacificsky Solar,CA,TRUE,532.056285615385,85.5833485384615
Nexus Energy,CA,TRUE,865.996764692308,129.574476538462
New Day Solar,CA,TRUE,750.164474461539,74.0786020769231
Treepublic Energy,CA,,387.794546076923,56.0088522307692
Synergy Power (CA),CA,TRUE,545.388136692308,80.4529913846154
Los Angeles Solar Pros,CA,,498.833869,77.8078882307692
Green Convergence,CA,,741.082720153846,101.014594615385
Donald P Dick Ac,CA,,514.701394153846,104.362501692308
Sky Solar Pro,CA,,238.609462625,40.285333875
Vibe Solar,CA,,597.068497846154,69.1006314615385
