Cust_ID,Customer,Dist_Code,PC #,State,Rep,MINI,APEX,C-MOUNT,Accessories,Tools,Bolts,Screws,Unknown
1255,Evolution Energy,1,1670,NY,RyanW,1940,,,,,1860,5740,
329,Solar Energy World,1,8018,FL,RyanW,1936,,,,,2153,8948,
2551,Pacific Sky Solar,1,1024,CA,Genki,1934,,,,,60,2940,
137,Big Dog Solar,1,756,ID,Genki,1930,,,,,,,
2281,Positive Synergy Llc,2,0,AZ,Genki,1920,,,,,,,
945,"Lumio Hx, Inc",1,239,TX,Genki,1900,,,,,1500,,
1161,A-Team Consultants Group Llc,1,821,MT,Genki,1896,,,,,2163,7110,
1468,Dba Omicron Solutions,1,1987,TX,Genki,1892,,,,,815,32100,
183,Nathan Wood General Contractor,1,9185,HI,Genki,1890,,,,,880,1840,
2716,Integratesun,1,5944,PA,RyanW,1867,,,,,,3694,
198,Onsite Energy,1,821,MT,Genki,1860,,,,,1140,4160,
139,Cod-Day Star Solar Roofing & C,1,1987,TX,Genki,1845,,,,,2079,4400,
287,Pm & M Electric Dba Titan Sola,1,8756,AZ,Genki,1842,,,,,400,,
213,Sunpower,1,4950,IL,Guy,1840,,,,,,4700,
898,Lumio Hx Inc.,1,5971,OR,Genki,1820,,,,,1820,5262,
1948,Sun Up Solar,1,4422,ME,RyanW,1820,,,,,1440,6370,
1180,410 Energy Solutions,1,9106,MD,RyanW,1814,,535,,,612,1100,
2756,Todel Construction (My State E,1,4560,FL,RyanW,1810,,,,,,1710,
1682,Revolution Energy Systems,1,6640,IL,Guy,1800,,,,,2000,2000,
2664,Invaleon Technologies Corp.,1,4422,MA,RyanW,1800,,,200,,,500,
1151,Stilwell Solar Llc,1,8018,FL,RyanW,1794,,,,,1814,4768,
622,Equisolar,1,5621,FL,RyanW,1779,,,,,1755,6400,
142,Enlightened Solar,1,8618,FL,RyanW,1765,,,,,2222,17148,
1409,Solar Energy World Llc,1,9106,MD,RyanW,1760,3593,,,,,2860,
1723,Palmetto Clean Technology,1,5944,PA,RyanW,1760,,1420,,,1500,2200,
171,Solar Source,1,8018,FL,RyanW,1760,,,,,2290,5300,
1138,Cod - Vision Solar,1,8018,FL,RyanW,1760,,,,,,4000,
