Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,Total
Infinite Solar Of El Paso Llc,TX,336,1987,1,Ken,,,,,,,,,
"Paradise Energy Solutions, Llc",NY,337,8460,1,Chris,,,,,,,,,
"Property Services Warranty, Inc",FL,338,4560,1,Justin,,,,,,,,,
The Solar Cowboys,TX,339,237,1,Ken,,,,,,,,,
Trismart Solar,NM,340,148,1,Ken,,,,,,,,,
Zenernet Llc,MO,341,3584,1,Guy,,,,,,,,,
Grounded Llc,MD,342,9106,1,Chris,,,,,,,,,
Lunex Power Inc,FL,343,8018,1,Justin,,,,,,,,,
Next Door Home Upgrades,CA,344,6435,1,Rob,,,,,,,,,
Starry Solar,OK,345,5364,1,Ken,,,,,84.96,,,,
Suncommon Rbk,NY,346,120,1,Chris,,,,,,,,,
Tri State Solar Services,NJ,347,1670,1,Chris,,,,,,,,,
"Zenernet, Llc",TX,348,236,1,Ken,,,,,,,,,
Exact Solar,PA,349,5887,1,Chris,,,,,,,,,
Excel,FL,350,5888,1,Justin,,,,,,,,,
Greater Texas Solar,TX,351,236,1,Ken,,,,,,,,,
La Solar Group,TX,352,237,1,Ken,,,,,,,,,
Marc Jones Construction Llc Dba Sun,GA,353,1132,1,Justin,,,,,,,,,
Renu Energy Solutions,NC,354,6058,1,Chris,,,,,,693,690,690,
Skyline Solar Llc,MA,355,224,1,Chris,,,,,,,,,
Solar Planet Llc,FL,356,5621,1,Justin,,,,,,,,,
Solar Sme,PA,357,236,1,Chris,,,,,,,,,
Az Sun Services,AZ,358,8756,1,Ken,,,,,,,,,
Cod - Sun Harvest Energy,FL,359,8018,1,Justin,,,,,,,,,
Gottschalk Solutions Llc,NY,360,1670,1,Chris,,,,,,,,,
Sky Blue Energy,TX,361,237,1,Ken,,,,,,,,,
Solar Solution Az Llc,AZ,362,8808,1,Ken,,,,,,,,,
Ce Team Inc,NJ,363,5887,1,Chris,,,,,,,,,
Cod Pacific Solar Homes,CA,364,7605,1,Rob,,,,,,,,,
Green Star Power Llc,TX,365,239,1,Ken,,,,,,,,,
Plug Pv Llc,NY,366,120,1,Chris,,,,,,,,,
Solcium Solar Llc,FL,367,5621,1,Justin,,,,,,,,,
Sunnymac,NJ,368,5887,1,Chris,,,,,,,,,
Accord Power,NY,369,5887,1,Chris,,,,,,,,,
Empwr Solar,VA,370,6408,1,Chris,,,,,,,,,
Neal Electric,NH,371,224,1,Chris,,,,,,,,,
Solar Sage,FL,372,5621,1,Justin,,,,,,,,,
Vision Solar,MA,373,224,1,Chris,,,,,,,,,
*Cod - Project Solar,FL,374,8018,1,Justin,,,,,,,,,
Cod-Vision Solar,AZ,375,8756,1,Ken,,,,,,,,,
Energy One,MO,376,3584,1,Guy,,,,,,,,,
Everguard Solar,NM,377,148,1,Ken,,,,,,,,,
City - San Leandro,CA,378,8064,1,Rob,,,,,,,,,
Independent Green Technologies Llc,FL,379,8018,1,Justin,,,,,,,,,
Mirasol Fafco Solar Inc.,FL,380,8018,1,Justin,,,,,,,,,
Momentum Solar,AZ,381,8756,1,Ken,,,,,,,,,
Mountain Power Solutions,CO,382,2685,1,Ken,,,,,,,,,
Oej Electric Llc,AZ,383,8756,1,Ken,,,,,,,,,
Sunpro,TX,384,3273,1,Ken,,,,,,,,,
Yes! Solar Solutions,NC,385,6058,1,Chris,,,,,,,,,
Big Dog Solar,CO,386,2685,1,Ken,,,,,,,,,
Design 1 Group,TN,387,6058,1,Guy,,,,,,,,,
Equisolar Inc,TX,388,239,1,Ken,,,,,,,,,
"Palmetto Clean Technology, Inc",OH,389,1154,1,Guy,,,,,,,,,
Pm&M Electric Dba Titan Solar,NM,390,148,1,Ken,,,,,,,,,
Reanimate Contractors,NJ,391,5887,1,Chris,,,,,,,,,
Solar Sme,NC,392,236,1,Chris,,,,,,,,,
Sunpower Corp.,CA,393,5040,1,Rob,,,,,,,,,
"Palmetto Clean Technology, Inc.",FL,394,5621,1,Justin,,,,,,,,,
Penguin Home Solutions Inc.,CA,395,6435,1,Rob,,,,,,,,,
Royal Wholesale Electric - Springville,UT,396,6692,1,Rob,,,,,,,,,
Cost Adjustments,TX,397,1987,1,Ken,,,,,,,,,
Hays Electrical,TX,398,3273,1,Ken,,,,,,,,,
Lumina Solar,MD,399,9106,1,Chris,,,,,,,,,
